book_id,title,description,language_code
1038906,Wisteria Cottage,,eng
24441549,The Fitzroy,"Six short, darkly comic stories set in a post-apocalyptic 1950's Britain. A whirlwind of death, mayhem and the finest tea!",eng
20359719,"The Perilous Sea (The Elemental Trilogy, #2)","After spending the summer away from each other, Titus and Iolanthe (still disguised as Archer Fairfax) are eager to return to Eton College to resume their training to fight the Bane. Although no longer bound to Titus by a blood oath, Iolanthe is more committed than ever to fulfilling her destiny--especially with the agents of Atlantis quickly closing in.
Soon after arriving at school, though, Titus makes a shocking discovery, one that makes him question everything he previously believed about their mission. Faced with this devastating realization, Iolanthe is forced to come to terms with her new role, while Titus must choose between following his mother's prophecies--and forging a divergent path to an unknowable future.",eng
29439515,Mud Between Your Toes: A Rhodesian Farm,"Glimpse a life filled with contradictions, discoveries, and passion in Peter Wood's fascinating new memoir, Mud Between Your Toes: A Rhodesian Farm.
This is a powerful story about a teenage boy growing up during the Rhodesian Bush War.
Peter Wood is an African. He is white, but he also holds a Chinese passport. And he is also gay.
Growing up during the 1970s on his family's farm in Rhodesia (now Zimbabwe), Peter was swiftly introduced to a harsh world in which friends and relatives were murdered in ambushes--and the line between blacks and whites was drawn in blood.
As travel bans and UN sanctions caused a deepening chasm between his country and the rest of the world, Peter struggled with his identity as a white Rhodesian and later in life, when living in London, he nurtured his skills as a photographer--and finally found the courage to come out as gay.
Now a twenty-year resident of Hong Kong and an official Chinese national, Peter is arguably the only white, gay, African man in China. But his wildly entertaining anecdotes delve much deeper than that superficial--yet admittedly fascinating--label. These stories, based largely on Peter's childhood diary entries, offer insight into the universal human experience: from tragedies and triumphs to catastrophes and, perhaps most importantly, joy.",eng
15843134,Children of the Days: A Calendar of Human History,,eng
32024348,Growing Up with Conference: Practical Ways to Make General Conference Fun Year-round,"Make General Conference fun year-round!
From the creators of the blog Sweetly Made Just for You comes a new book filled with fun and creative ways to get your family excited for general conference, including crafts, recipes, FHE ideas, and more!",eng
27427457,"A None's Story: Searching for Meaning Inside Christianity, Judaism, Buddhism, and Islam","The rising population known as ""nones"" for its members' lack of religious affiliation is changing American society, politics, and culture. Many nones believe in God and even visit places of worship, but they do not identify with a specific faith or belong to a spiritual community. Corinna Nicolaou is a none, and in this layered narrative, she describes what it is like for her and thousands of others to live without religion or to be spiritual without committing to a specific faith.
Nicolaou also tours America's major traditional religions to see what, if anything, one might lack without God. She moves through Christianity's denominations, learning their tenets and worshiping alongside their followers. She travels to Los Angeles to immerse herself in Judaism, Berkeley to educate herself about Buddhism, and Dallas and Washington, D.C., to familiarize herself with Islam. These encounters prove the significant role religion still plays in modern life. They also exemplify the vibrant relationship between religion and American culture and the enduring value it provides to immigrants and outsiders. Though she remains a devout none, Nicolaou's experiences reveal points of contact between the religious and the unaffiliated, suggesting nones may be radically revising the practice of faith in contemporary times.",eng
28524109,Witch Is When It All Began,"When the going gets tough...
Private investigator, Jill Gooder, has been hired to find a serial killer because, as usual, the police can't buy a clue. Jill, the not so proud owner of a crazy, one-eyed cat, probably can't expect too much help from her PA/Secretary, Mrs V, who spends all day knitting.
And just in case all of that wasn't bad enough, Jill's just about to discover she's a witch.
...break out the custard creams.",eng
10219976,The Naming Of The Dead,"The sixteenth Inspector Rebus novel from 'Britain's No.1 crime writer' DAILY MIRROR.
A murder has been committed - but as the victim was a rapist, recently released from prison, no one is too concerned about the crime. That is, until Detective Inspector John Rebus and DS Siobhan Clarke uncover evidence that a serial killer is on the loose...
When Rebus also starts looking into the apparent suicide of an MP, he is abruptly warned off the case, not least because the G8 leaders have gathered in Scotland, and Rebus's bosses want him well out of the way. But Rebus has never been one to stick to the rules, and when Siobhan has a very personal reason for hunting down a riot cop, it looks as though both Rebus and Clarke may be up against their own side...
Page Numbers Source ISBN: 0752883682",eng
5882622,"Under the North Star (Under the North Star, #1)","Linna's Under the North Star, widely considered the most significant work of Finnish literature published during Finland's independence, is the first volume of an epic trilogy of the same title.
This first part of this historical work, which encompasses Finnish history from the 1880s to the 1950s, depicts the turn of the 20th century (1884-1907). It gives a voice to hitherto silent actors on the stage of history as it offers a comprehensive account of the social and economic realities reflected in the hopes, dreams, and experiences of Jussi and Alma Koskela and their children in the rural village of Pentti's Corners in south central Finland.",eng
5633900,And To Think That I Saw It On Mulberry Street,,eng
22914180,Poetry : Wings of Emotions Volume II,"A profound testament to unconditional love, loss and hope, this free flowing verse paints a picture of the first breathless moments of new love to the heartache of letting go. Each word is a swath of elegance and grace that will linger in the halls of your memory for years to come.",eng
13628118,The Dark Road,"What starts as an adventure for Sasha Mills turns into a terrifying fight for survival... Emotionally blackmailed by the cold-footed fiance she hasn't seen in a year, Sasha abandons her life in London to track him in Siem Reap, Cambodia, where he's teaching. While in Bangkok, locals react strangely to her request to travel the following day, insisting it is a not a good day to travel despite numerous posters advertising buses running every day. Ignoring the warnings, Sasha assumes some kind of bank holiday and offers a large amount of money. She secures a seat on the solitary bus heading for Siem Reap. Thrown together with a random group of international backpackers, including the handsome Josh, Sasha is no longer certain of what lies ahead as they cross the Cambodian border and the roads turn into dirt tracks. Soon after, a storm like none she's ever witnessed before descended upon them. When one of their group disappears off the side of the road, Sasha realizes she has more than just the warnings of land mines to worry about. One by one, the travelers lose their minds as they are plunged into the terrifying secrets of the Dark Road.",eng
28420491,Drawing Hearts (Passion's Gamble #3),"A bet worth the risk... 
Taking over the boutiques at her grandmother's Reno casino is a lucky break for fashion buyer Kenzie Russell. But while she relishes the challenges at Casa de Mariposa, Kenzie longs to launch her own designer line. There's also another distraction--Reed Watson, the supersmart, ubersexy tech guru who's generously offered to fix the casino's software glitches. 
Ever since he made his first fortune before the age of twenty-one, Reed has been surrounded by people more interested in his millions than in him. Not Kenzie. Her ambition and zest for life are exhilarating, and she wants success on her own terms. They're opposites in so many ways, except when it comes to a powerful, mutual attraction. But with a secret adversary trying to bring chaos to the casino, everything is at stake--Kenzie's job, her family's future and their sizzling, once-in-a-lifetime connection...",eng
2924797,"Hacking Exposed: Network Security Secrets & Solutions, Second Edition",High-profile viruses and hacking incidents serve to highlight the dangers of system security breaches. This text provides network administrators with a reference for implementing and maintaining sound security policies,eng
17977911,A Lean Marketing Revolution: The timeless,"For decades, someone breaking into business had a tough time learning the secrets to marketing. The only solution was a study of numerous books containing hundreds of mind-numbing pages.
Say ""goodbye"" to those days!
Now available is a short, easy to read, condensed version of the key principles of marketing, writen as, ""A Lean Marketing Revolution.""
A Lean Marketing Revolution, condense hundreds of pages of current text on marketing into a more easily understood format.
The result is a dynamic and exciting 46 page booklet which gets to the point rather quickly to drive immediate results, which is quite revolutionary.
A Lean Marketing Revolution was released on July 19, 2011. The booklet topped the bestsellers lists in Amazon's Kindle division for eBooks in the first two weeks of release, quickly reaching the following ratings: number one (#1) as a bestseller in multilevel Marketing; number twenty-four (#24) as a bestseller in Advertising, number thirty-six (#36) in Marketing; number seven (#7) as a bestseller in Business Development; and, finally, number one (#1) as the hot new bestseller in Advertising, Marketing, and Business.",eng
30312558,Lumberjanes/Gotham Academy,"The Lumberjanes and Gotham Academy kids team up!
DREAM TEAM UP!
When a teacher at Gotham Academy goes missing, it's up to Olive, Maps, Colton, Pom, and Kyle to figure out what is happening and how to get her back. With only an outdated birthday invitation as the clue, they find themselves in the middle of the woods with no idea of where to start. With the sudden appearance of the Lumberjanes--April, Jo, Mal, Molly, Ripley and Jen--who are on the hunt for their missing Camp Director, all clues point to an abandoned cabin with more secrets than cobwebs.
BOOM! Studios and DC Comics team up to bring together Lumberjanesand Gotham Academyfor the ultimate friendship-fueled crossover event. Written by Chynna Clugston Flores (Blue Monday), and illustrated by Rosemary Valero-O'Connell (Laura Dean Keeps Breaking Up With Me) and Maddi Gonzalez, this is a running-for-your-life-from-skeletal-monsters mystery that leads to lifelong friendship!",eng
28695174,A Family Like Hannah's,"Starting over is serious business 
With her professional skiing career cut short by an accident, Hannah James is putting all her energy into transforming Snowy Sky Resort into something special. There's only one obstacle. Famous pro-snowboarder-turned-consultant Tate Addison has his own ideas about taking the Rankins, Alaska, lodge to the next level. But Hannah won't compromise her dreams. She gets that Tate is trying to create a stable home for his orphaned six-year-old nephew--a boy Hannah already adores. And if she isn't careful, she could also fall for the boy's too-attractive uncle. Is she risking heartbreak? Or do she and Tate really want the same things out of life?",eng
8374837,Memoirs of a Holocaust Survivor: Icek Kuperberg,"Powerful in its stark simple language, Icek Kuperberg chronicles his personal experiences as a concentration camp prisoner during World War II. Interned in various work and death camps, Icek had to use his guile and wits to simply stay alive. That he persevered despite tremendous horrors and obstacles, testifies to his strong will to survive.",eng
25408208,Sofie and the Movie Star(Lovestruck #3.5),"Sofie is six months pregnant, feeling hormonal, and totally not looking forward to wearing a bridesmaid's dress at her cousin's wedding.
As if it isn't bad enough that that her favorite cousin is getting married and leaving her behind, Sofie's unexpected pregnancy--and noticeable lack of boyfriend--is causing quite the scandal in her overbearing and overly traditional family.
To make the wedding extra embarrassing, the guest list includes Jackson Coles, friend of the groom and international movie star...who just so happens to be the hottest man on the planet. Sofie has been dying to meet Jackson, the subject of countless fantasies, for ages--she just never expected her big chance would come when she was knocked up.
When the ceremony ends and the party gets started, Sofie will find that weddings--and movie stars--can be full of surprises.
And that Jackson Coles is a much better kisser than she had ever imagined.
**11,000 words or approximately 30 pages. This is a stand-alone short story of 11,000 words (approximately 30 pages). This short story has a happy ending featuring characters from Rachel Schurig's popular Lovestruck series. This story can be read alone and has no cliffhanger.**",eng
28012139,Test Anxiety Cure: Scientifically Proven Ways to Succeed and Score High in All Exams,"Isn't it time for you to finally do something about your test anxiety? If you're willing to do some work, Dr. Cheour will give you step-by-step instructions on how to curb your test anxiety.
Buy your copy today and pay only $2.99 to cure your test anxiety!
This Amazon best-seller book is written by a psychology professor and a psychologist who has years of experience working with students suffering from test anxiety. After seeing how devastated many of her students and clients were she developed a program that aims to address this problem once and for all. The program presented in this book is based on the latest scientific findings as well as decades of personal experience gathered while working with college students and clients.
This is what you'll get:
Practical and easy-to-follow steps for curing your test anxiety
Learn to optimally prepare for any exam
Learn to take any test without feeling anxious
Plenty of exercises to practice help you develop skills
Suitable for students of all ages
Here is what a medical doctor working with students suffering from test anxiety has to say about the book:
""Students frequently come to me looking for a miracle pill that would cure their test anxiety. Well, this book is that miracle pill. Dr. Cheour has done an excellent job putting together a test anxiety cure program that is easy and effective. I highly recommend this book for any students, even those who don't suffer from test anxiety but are seeking to perform at their best during exams.""
- Horatio Gordon, MD
Haven't you suffered enough? Take action today and download this Amazon best-seller book for only $0.99!",eng
6454595,Tryst,"Angie Estes' Tryst was named one of two finalists for the 2010 Pulitzer Prize in Poetry. The citation called it ""a collection of poems remarkable for its variety of subjects, array of genres and nimble use of language.""",eng
17824764,Inhumans,"The Inhumans are one of Marvel's most enduring oddities. A race of genetic freaks living secluded in their island kingdom of Attilan, their mutations are self-endowed; as a coming of age ritual, each Inhuman exposes themself to the Terrigen Mists, a strange substance that imparts unearthly powers...some extraordinary, some monstrous. But now Attilan is under attack from without and within. Can the Royal Family, led by the mute Black Bolt, repel the foreign invaders who assail their outer defense, as well as the internal threat of Black Bolt's insane brother, Maximus the Mad? Paul Jenkins and Jae Lee infuse one of Marvel's oldest families with a modern sensibility, including international politics, class struggles and the age-old struggle of growing up. Dark and grimly compelling, it remains one of Marvel Knights' most beloved stories. COLLECTING:Inhumans (1998) 1-12",eng
29005956,Cupid's Caress,"Jingle bells, jingle bells, jingle all the way! Oh, what fun it is to ride...
What happens after the happily ever after when doubts set in? Emma and Lucas--from the contemporary romantic suspense, Caress--find out during a very special holiday season in New York City. Sexy romps abound but so do poignant moments of tenderness and love as together they find the gift of faith in themselves and in their future together.
Christmas Caress is a stand-alone story. You don't need to have read Caress to enjoy it.",eng
36266887,The Malice of Angels (Esme Quentin Mystery #3),"THE DEEPEST SHADOWS HIDE THE DARKEST TRUTH
Esme Quentin is reminded of a painful past when Max Rainsford, a journalist colleague of her late husband Tim, turns up unannounced, asking about a story on which Tim reported 35 years ago - the murder of an old soldier. Esme, wary of Max's motives, declines to get involved.
Meanwhile, Esme's friend Ruth, prompted by WW2 anniversaries, wants to solve the mystery of Vivienne, her mother Bea's sister, a wartime nurse who never came home.
Despite Bea's disapproval, Ruth is convinced the truth will finally help Bea come to terms with her loss and asks Esme to investigate.
Esme unpicks the threads of Vivienne's past and stumbles upon a disturbing connection, linking the old soldier's murder to her own distressing past and her late husband's fate.
As events unravel, Esme realises that to uncover the secrets behind Vivienne's story, she must also confront the terrifying truth behind her own.",eng
20895945,The Lonely Road,,eng
18213368,"Interludes (The Last Traces of Smoke, #2)","Teen Wolf Au: Stiles/Derek
Six months is a long time to miss your mate.
Words:7553 complete",eng
20635083,Bitten,"An old-fashioned movie theatre with a strange secret. A jilted, pissed-off girlfriend. And a smoldering supernatural hottie to die for.
Being stuck doing late-night clean-up alone at The Killer B's, the movie theatre where she works, is a trial Lizzie Sharpe could really do without. She just wants to finish her work, go home, and forget about her crappy day. But The Killer B's hides a very interesting secret, and Lizzie isn't as alone as she thought.
When the hot dude from the movie Bitten By The Vampire appears out of nowhere and says he wants her, she's understandably doubtful. But vampire Vlad is sexy and persuasive, and by the end of the night, Lizzie is going to discover there are far worse things than being BITTEN by the vampire.",eng
647608,BFI Film Classics: The Big Lebowski,"Since its release nearly ten years ago, The Big Lebowskihas become a cult classic with a worldwide following, having survived the baffled reaction of many mainstream critics. Its fans tend to be fanatical, congregating at 'Lebowski Conventions' in bowling alleys across American and Britain, and even dressing up as characters from the film. Among the funniest films of the last twenty-five years, and one of the high-water marks of 1990s genre recycling and pastiche, The Big Lebowskiis also littered with playful and subversive references to film history, especially to Raymond Chandler's world of hardboiled detective classics and the world of film noir. The Big Lebowskiis the rarest kind of film, a comedy whose jokes become funnier with repetition. The same goes for its multitudinous jukebox-like references to other films, many of which open up vistas for intertextual interpretation. Underneath the film's breakneck pacing and foul-mouthed characters, a farcical collection of flakes, losers, and phonies, is a surprisingly humane account of what fools we mortals be. It is one of the oddest buddy films ever made, with extraordinary performances by Jeff Bridges and John Goodman. In this study, The Big Lebowskiis set into the context of 1990s Hollywood cinema, anatomised for its witty relationship with the classics which it satirises, and discussed in terms of its key theme: the hopeless flailing of ridiculously unmanly men in the world of discombobulated, mixed-up, or put-on identities that is Los Angeles.",eng
115997,In the Company of Heroes: The Personal Story Behind Black Hawk Down,"Piloting a U.S. Army Special Operations Blackhawk over Somalia, Michael Durant was shot down with a rocket-propelled grenade on October 3, 1993. With devastating injuries, he was taken prisoner by a Somali warlord. With revealing insight and emotion, he tells the story of what he saw, how he survived, and the courage and heroism that only soldiers under fire could ever know.",eng
7906107,Guitar Boy,"Travis Tacey doesn't have it easy: his mom's in the hospital suffering from brain trauma after a terrible car accident, and his father has lost his good sense in the aftermath and kicks him out. Homeless, penniless, and only thirteen years old, Travis tries to make money off of his singing and guitar playing skills. But when his beloved guitar--a family heirloom--is stolen, Travis grows desperate. By a stroke of luck, he gets a job helping a guitar maker. Through Travis's love of music, his devotion to his family, and the kindness of strangers, he begins to find his way in the world. But how will he keep his family together?",eng
34441466,The Nearness of You (The Thorntons #1),"The last thing Sara Flannigan needs is a man in her life. When she returns to her hometown, she vows to create a happy life for her son and to rebuild her life after a painful divorce. Yet when she meets her son's new doctor, she can't deny the spark of attraction that heats between them.
The problem?
He's Harrison Thornton, the oldest son of the illustrious Thornton family. His family would never accept a woman like Sara, a woman who grew up on the wrong side of the tracks. She tries to ignore the whispers of her past, but she soon realizes secrets can never stay hidden for long.
Especially from the man claiming her wounded heart.
Growing up in the rich and powerful Thornton family, Harrison has lived a charmed life. A renowned physician, the last thing he expects is to desire the mother of one of his patients. Sara is beautiful and intelligent, and she's completely devoted to her son, something that only deepens his attraction to her.
He doesn't want a single night of passion, though: he wants forever. Yet there are forces at work and people determined to tear them apart. Even Sara turns from him, certain she's unworthy. Harrison refuses to let Sara slip away, and soon, he's fighting the greatest battle of all.
The battle to win the heart of the woman he loves.",eng
16043432,The Yips,"The Man Booker Prize-nominated novel by one of the most original authors of our time
Storm clouds are gathering above the bar of the less-than-exclusive Thistle Hotel. Stuart Ransom, a jet-setting, supermodel-chasing pro golfer with an extravagant ego and a career nearing the end of a spectacular decline, is drinking his way through the night. Desperate for attention, he strikes up free-flowing conversations with anyone who will listen. But as he banters with Jen, the impish barmaid with a talent for telling tall tales rivaled only by Stuart's own, the night takes an extraordinary turn. Among those caught up in the unfolding drama are a tattooist with a mad mother and a love of anything from the 1940s; a free-thinking Muslim sex therapist and his considerably more conservative wife; the mysterious Vicki, the sister of Stuart's defiant yet curiously devoted manager; and a misguided female vicar of the Church of England and her husband, Gene, the Thistle's hapless bartender. They are a highly entertaining and eccentric bunch, but there's more to them than meets the eye. ""There enter in questions of what it is to be consumed by love or lust, by shame, by the longing to be someone else or nobody"" (The Guardian), and The Yipsunites them in an absorbing, exhilarating tour de force.",eng
22165399,Out to Lunch,"""When we put Kissane's almost telepathic empathy, his political subtlety and his humour together with his wide-ranging technical skills we have an Australian poet who is both a pleasure to read and a likely candidate for the best half-dozen or so of his generation."" - Geoff Page, Canberra Times ""This is generous poetry. Out to Lunch is a book of sustenance, pleasure and tender anatomies of living. These poems have conscience and gratitude; a sense of the momentous in ordinary things. Feast and savour. Delicacies will stick in your teeth-and you'll want them there."" - Meredith Wattison A childlike perspective on life makes Out to Lunch a breath of fresh air in the solemnity of many other poetry collections that explore family dynamics and the elusive self. The poems are beautiful aural/oral creations... lovely to recite, perform and enjoy. - Judges' Comments, Shortlist, NSW Premier's Prize for Poetry",eng
186682,"Re: Colonised Planet 5, Shikasta","This is the first volume in the series of novels Doris Lessing calls collectively Canopus in Argos: Archives. Presented as a compilation of documents, reports, letters, speeches and journal entries, this purports to be a general study of the planet Shikasta, clearly the planet Earth, to be used by history students of the higher planet Canopus and to be stored in the Canopian archives. For eons, galactic empires have struggled against one another, and Shikasta is one of the main battlegrounds. Johar, an emissary from Canopus and the primary contributor to the archives, visits Shikasta over the millennia from the time of the giants and the biblical great flood up to the present. With every visit he tries to distract Shikastans from the evil influences of the planet Shammat but notes with dismay the ever-growing chaos and destruction of Shikasta as its people hurl themselves towards World War III and annihilation.",eng
12963861,"The Dream Crystal (The Dream War Series, #1)","All of the world's dreams are about to die. The Shadow People have come. Always near, they linger in the darkness, ready to devour dreams, hopes, aspirations and desires. . .
Aisling, having lost her dream of becoming a fashion designer, learns that she's a Faerie changeling. Disquieted by the fact that her faerie parents are kidnappers, she has decided to rescue the human child she was exchanged for, but her ""sister"" is no longer among the faeries, having been taken by the Shadow People. Ith, the Lord of Shadows, is trying to control the dreams of mankind, which are under the protection of the faeries, so they're at war.
Aisling, who doesn't believe in dreams any longer, is falling in love with a handsome, mysterious stranger - one of the Shadow People.",eng
2957010,Retaliation,"Violence runs rampant on the streets of Washington, DC, and on one seemingly quiet day, the Odom family finds its world destroyed when seventeen-year-old Tashera is brutally attacked by a group of high school girls.
Retaliationexposes the corrupting existence of violence in our communities and the retaliatory measures families go through to protect themselves and their children.",eng
20809360,In the Shadow of Jezebel,"Princess Jehosheba wants nothing more than to please the harsh and demanding Queen Athaliah, daughter of the notorious Queen Jezebel. Her work as a priestess in the temple of Baal seems to do the trick. But when a mysterious letter from the dead prophet Elijah predicts doom for the royal household, Jehosheba realizes that the dark arts she practices reach beyond the realm of earthly governments. To further Athaliah and Jezebel's strategies, she is forced to marry Yahweh's high priest and enters the unfamiliar world of Yahweh's temple. Can her new husband show her the truth and love she craves? And can Jehosheba overcome her fear and save the family--and the nation--she loves?",eng
